Bill Of Materials for Team 2 ExploSnake,,,,,,,,,,,
Last modified: 11/09/23,,,,,,,Totals,,39.9,,35.86
PCB version: 0.0.1,,,,,,,,,,,
BOM revision: 1.0.0,,,,,,,,,,,
,,,,,,,,1 piece,,10 piece,
Qty,Ref,P/NPManufacturer,,MPN,Desc,Dist,DPN,$ea,$tot,$ea,
5,"C1, C4, C7, C11, C12",p,Samsung Electro-Mechanics,CL31B105KBHNFNE,CAP CER 1UF 50V X7R 1206,DigiKey,1276-3091-1-ND,0.14,0.7,0.09,0.46
2,"C2, C3",p,KYOCERA AVX,12061A240JAT2A,CAP CER 24PF 100V NP0 1206,DigiKey,478-12061A240JAT2ACT-ND,0.28,0.56,0.19,0.39
2,"C5, C6",p,Samsung Electro-Mechanics,CL31B104KBCNNNC,CAP CER 0.1UF 50V X7R 1206,DigiKey,1276-1017-1-ND,0.11,0.22,0.07,0.15
2,"C8, C10",p,Samsung Electro-Mechanics,CAP CER 10UF 50V X5R 1206,CAP CER 10UF 50V X5R 1206,DigiKey,1276-6736-1-ND,0.27,0.54,0.18,0.36
1,C9,p,Samsung Electro-Mechanics,CL31B105KBHNFNE,CAP CER 1UF 50V X7R 1206,DigiKey,1276-3091-1-ND,0.14,0.14,0.09,0.09
1,C13,p,Samsung Electro-Mechanics,CL31A226MOCLNNC,CAP CER 22UF 16V X5R 1206,DigiKey,1276-2728-1-ND,0.23,0.23,0.15,0.15
1,C14,p,Murata Electronics,GRM31CR61A107MEA8L,CAP CER 100UF 10V X5R 1206,DigiKey,490-GRM31CR61A107MEA8LCT-ND,0.42,0.42,0.28,0.28
1,C15,dnp,,,,,,0,0,0,0
2,"D1, D4",p,Lite-On Inc.,LTST-C150GKT,LED GREEN CLEAR 1206 SMD,DigiKey,160-1169-1-ND,0.3,0.6,0.16,0.32
1,D2,p,Lite-On Inc.,LTST-C150KFKT,LED ORANGE CLEAR 1206 SMD,DigiKey,160-1403-1-ND,0.3,0.3,0.17,0.17
1,D3,p,Lite-On Inc.,LTST-C150EKT,LED RED CLEAR 1206 SMD,DigiKey,160-1168-1-ND,0.31,0.31,0.17,0.17
1,D5,p,KYOCERA AVX,SD1206T040S1R0,DIODE SCHOTTKY 40V 1A 1206,DigiKey,478-7809-1-ND,0.4,0.4,0.31,0.31
1,F1,p,Littelfuse Inc.,1812L110/33MR,PTC RESET FUSE 33V 1.1A 1812,DigiKey,F3486CT-ND,0.58,0.58,0.54,0.54
1,J1,dnp,,,,,,0,0,0,0
1,J3,p,GCT,USB4105-GF-A,CONN RCP USB2.0 TYP C 24P SMD RA,DigiKey,2073-USB4105-GF-ACT-ND,0.81,0.81,0.69,0.69
4,"Q1, Q2, Q3, Q4",p,Diodes Incorporated,DMP3099L-7,MOSFET P-CH 30V 3.8A SOT23,DigiKey,DMP3099L-7DICT-ND,0.34,1.36,0.24,0.96
1,Q5,p,Infineon Technologies,IRF530NSTRLPBF,MOSFET N-CH 100V 17A D2PAK,DigiKey,IRF530NSTRLPBFCT-ND,1.26,1.26,1.03,1.03
1,R1,p,Stackpole Electronics Inc,RMCF1206JG100K,RES 100K OHM 5% 1/4W 1206,DigiKey,RMCF1206JG100K,0.1,0.1,0.02,0.02
3,"R2, R6, R14",p,Stackpole Electronics Inc,RMCF1206JG10K0,RES 10K OHM 5% 1/4W 1206,DigiKey,738-RMCF1206JG10K0CT-ND,0.1,0.3,0.02,0.06
1,R3,p,Stackpole Electronics Inc,RMCF1206JT100R,RES 100 OHM 5% 1/4W 1206,DigiKey,RMCF1206JT100RCT-ND,0.1,0.1,0.02,0.02
2,"R4, R17",p,Stackpole Electronics Inc,RMCF1206JT2K20,RES 2.2K OHM 5% 1/4W 1206,DigiKey,RMCF1206JT2K20CT-ND,0.1,0.2,0.02,0.04
2,"R5, R9",p,Stackpole Electronics Inc,RMCF1206JT22R0,RES 22 OHM 5% 1/4W 1206,DigiKey,RMCF1206JT22R0CT-ND,0.1,0.2,0.02,0.04
3,"R7, R8, R10",p,Stackpole Electronics Inc,RMCF1206JT1K00,RES 1K OHM 5% 1/4W 1206,DigiKey,RMCF1206JT1K00CT-ND,0.1,0.3,0.02,0.06
1,R11,p,Stackpole Electronics Inc,RMCF1206JT51K0,RES 51K OHM 5% 1/4W 1206,DigiKey,RMCF1206JT51K0CT-ND,0.1,0.1,0.02,0.02
2,"R12, R13",p,Stackpole Electronics Inc,RMCF1206JT5K10,RES 5.1K OHM 5% 1/4W 1206,DigiKey,RMCF1206JT5K10CT-ND,0.1,0.2,0.02,0.04
5,"SW1, SW2, SW3, SW4, SW5",p,C&K,PTS526 SM15 SMTR2 LFS,"TACT 5.2 X 5.2, 1.5 MM H, 160GF,",DigiKey,CKN12220-1-ND,0.14,0.7,0.14,0.68
1,U1,p,Infineon Technologies,CYPD3177-24LQXQT,IC USB TYPE-C PORT CONTROL 24QFN,DigiKey,448-CYPD3177-24LQXQTCT-ND,2.2,2.2,1.98,1.98
1,U2,p,Microchip Technology,IC MCU 8BIT 32KB FLASH 44TQFP,IC MCU 8BIT 32KB FLASH 44TQFP,DigiKey,ATMEGA32U4-AURCT-ND,5.39,5.39,5.39,5.39
1,U3,p,Nexperia USA Inc.,"IP4234CZ6,125",TVS DIODE 5.5VWM 6TSOP,DigiKey,1727-4717-1-ND,0.47,0.47,0.38,0.38
